name,native,status,pop_census_95,pop_census_00,pop_census_05,pop_census_10,pop_census_15,pop_estimate_18,area,pop_density
Akiruno,あきる野市,City (-shi),75355,78351,79587,80868,80954,80242,73.5,1091.72789115646
Akishima,昭島市,City (-shi),107292,106532,110143,112297,111539,111942,17.3,6470.63583815029
Chōfu,調布市,City (-shi),198574,204759,216119,223593,229061,237637,21.6,11001.712962963
Fuchū,府中市,City (-shi),216211,226769,245623,255506,260274,263835,29.4,8973.97959183673
Fussa,福生市,City (-shi),61497,61427,61074,59796,58395,58184,10.2,5704.3137254902
Hachijō,八丈支庁,Subprefecture (-shichō),9713,9691,9051,8432,7791,7418,78.2,94.8593350383632
Hachiōji,八王子市,City (-shi),503363,536046,560012,580053,577513,577254,186,3103.51612903226
Hamura,羽村市,City (-shi),55095,56013,56514,57032,55833,55004,9.9,5555.9595959596
Higashikurume,東久留米市,City (-shi),111097,113302,115330,116546,116632,116309,12.9,9016.2015503876
Higashimurayama,東村山市,City (-shi),135112,142290,144929,153557,149956,150101,17.1,8777.83625730994
Higashiyamato,東大和市,City (-shi),76355,77212,79353,83068,85157,84480,13.4,6304.4776119403
Hino,日野市,City (-shi),166537,167942,176538,180052,186283,188990,27.6,6847.46376811594
Inagi,稲城市,City (-shi),62806,69235,76492,84835,87636,90774,18,5043
Kiyose,清瀬市,City (-shi),67386,68037,73529,74104,74864,75400,10.2,7392.1568627451
Kodaira,小平市,City (-shi),172946,178623,183796,187035,190005,194757,20.5,9500.34146341463
Koganei,小金井市,City (-shi),109279,111825,114112,118852,121396,124712,11.3,11036.4601769912
Kokubunji,国分寺市,City (-shi),105786,111404,117604,120650,122742,126317,11.5,10984.0869565217
Komae,狛江市,City (-shi),74656,75711,78319,78751,80249,83003,6.39,12989.5148669797
Kunitachi,国立市,City (-shi),66719,72187,72667,75510,73655,75022,8.15,9205.15337423313
Machida,町田市,City (-shi),360522,377494,405544,427016,432348,433938,71.8,6043.70473537604
